,variable,indice,par,stat,wilcox_p,fdrbh_p,holm_p,bonfer_p
0,minRepWord,t_wa_fpr,3-2,289.5,0.0618227117053984,0.344426696839485,0.37093627023239,0.37093627023239
1,minRepWord,t_wa_fpr,3-4,362.5,0.488807460419417,0.488807460419417,0.891799167511819,1
2,minRepWord,t_wa_fpr,3-1,310,0.145888654929486,0.344426696839485,0.729443274647428,0.875331929576914
3,minRepWord,t_wa_fpr,2-4,327,0.22961779789299,0.344426696839485,0.891799167511819,1
4,minRepWord,t_wa_fpr,2-1,340.5,0.306925377683157,0.368310453219788,0.891799167511819,1
5,minRepWord,t_wa_fpr,4-1,324,0.222949791877955,0.344426696839485,0.891799167511819,1
0,minRepWord,t_wa_precision,3-2,325.5,0.244342505230805,0.419871863890099,1,1
1,minRepWord,t_wa_precision,3-4,352.5,0.419871863890099,0.419871863890099,1,1
2,minRepWord,t_wa_precision,3-1,338.5,0.324865448703092,0.419871863890099,1,1
3,minRepWord,t_wa_precision,2-4,325.5,0.247355548312628,0.419871863890099,1,1
4,minRepWord,t_wa_precision,2-1,348,0.385887228399905,0.419871863890099,1,1
5,minRepWord,t_wa_precision,4-1,332,0.286489654397832,0.419871863890099,1,1
0,minRepWord,t_wa_recall,3-2,289.5,0.0618227117053984,0.344426696839485,0.37093627023239,0.37093627023239
1,minRepWord,t_wa_recall,3-4,362.5,0.488807460419417,0.488807460419417,0.891799167511819,1
2,minRepWord,t_wa_recall,3-1,310,0.145888654929486,0.344426696839485,0.729443274647428,0.875331929576914
3,minRepWord,t_wa_recall,2-4,327,0.22961779789299,0.344426696839485,0.891799167511819,1
4,minRepWord,t_wa_recall,2-1,340.5,0.306925377683157,0.368310453219788,0.891799167511819,1
5,minRepWord,t_wa_recall,4-1,324,0.222949791877955,0.344426696839485,0.891799167511819,1
0,minRepWord,t_wa_f,3-2,268.5,0.042942443677938,0.257654662067628,0.257654662067628,0.257654662067628
1,minRepWord,t_wa_f,3-4,356.5,0.447539265912679,0.447539265912679,0.936736546202874,1
2,minRepWord,t_wa_f,3-1,302.5,0.13669932966111,0.338674004779575,0.683496648305552,0.820195977966663
3,minRepWord,t_wa_f,2-4,331.5,0.282228337316313,0.338674004779575,0.936736546202874,1
4,minRepWord,t_wa_f,2-1,324,0.234184136550719,0.338674004779575,0.936736546202874,1
5,minRepWord,t_wa_f,4-1,330,0.274624236901019,0.338674004779575,0.936736546202874,1
0,minRepWord,t_wa_mcc,3-2,310.5,0.167932635788888,0.346278421807453,1,1
1,minRepWord,t_wa_mcc,3-4,353,0.423289099053959,0.449510211199157,1,1
2,minRepWord,t_wa_mcc,3-1,318,0.20625797390554,0.346278421807453,1,1
3,minRepWord,t_wa_mcc,2-4,322.5,0.230852281204969,0.346278421807453,1,1
4,minRepWord,t_wa_mcc,2-1,357,0.449510211199157,0.449510211199157,1,1
5,minRepWord,t_wa_mcc,4-1,321,0.224396013925033,0.346278421807453,1,1
0,minRepWord,t_wa_roc,3-2,304.5,0.151113051900599,0.372455019690496,0.882825004693732,0.906678311403593
1,minRepWord,t_wa_roc,3-4,312.5,0.186227509845248,0.372455019690496,0.882825004693732,1
2,minRepWord,t_wa_roc,3-1,303.5,0.147137500782289,0.372455019690496,0.882825004693732,0.882825004693732
3,minRepWord,t_wa_roc,2-4,359.5,0.468904452949567,0.493084404402044,1,1
4,minRepWord,t_wa_roc,2-1,358,0.458485534325108,0.493084404402044,1,1
5,minRepWord,t_wa_roc,4-1,363,0.493084404402044,0.493084404402044,1,1
0,minRepWord,t_wa_prc,3-2,277.5,0.0670381342816038,0.206400731105971,0.402228805689623,0.402228805689623
1,minRepWord,t_wa_prc,3-4,291,0.103200365552986,0.206400731105971,0.412801462211942,0.619202193317913
2,minRepWord,t_wa_prc,3-1,282,0.077767430360758,0.206400731105971,0.402228805689623,0.466604582164548
3,minRepWord,t_wa_prc,2-4,347,0.38418425319672,0.5,1,1
4,minRepWord,t_wa_prc,2-1,364,0.5,0.5,1,1
5,minRepWord,t_wa_prc,4-1,355,0.438052799681725,0.5,1,1
0,minRepWord,t_kappa,3-2,289.5,0.0618227117053984,0.344426696839485,0.37093627023239,0.37093627023239
1,minRepWord,t_kappa,3-4,362.5,0.488807460419417,0.488807460419417,0.891799167511819,1
2,minRepWord,t_kappa,3-1,310,0.145888654929486,0.344426696839485,0.729443274647428,0.875331929576914
3,minRepWord,t_kappa,2-4,327,0.22961779789299,0.344426696839485,0.891799167511819,1
4,minRepWord,t_kappa,2-1,340.5,0.306925377683157,0.368310453219788,0.891799167511819,1
5,minRepWord,t_kappa,4-1,324,0.222949791877955,0.344426696839485,0.891799167511819,1
0,minRepWord,t_p_tpr,3-2,352.5,0.418495612943855,0.418624703236368,1,1
1,minRepWord,t_p_tpr,3-4,334.5,0.299310697091434,0.418624703236368,1,1
2,minRepWord,t_p_tpr,3-1,348.5,0.390214820436015,0.418624703236368,1,1
3,minRepWord,t_p_tpr,2-4,331.5,0.281128682891799,0.418624703236368,1,1
4,minRepWord,t_p_tpr,2-1,339,0.327192286568892,0.418624703236368,1,1
5,minRepWord,t_p_tpr,4-1,352.5,0.418624703236368,0.418624703236368,1,1
0,minRepWord,t_p_fpr,3-2,295.5,0.107988048559028,0.317546213530786,0.539940242795143,0.647928291354171
1,minRepWord,t_p_fpr,3-4,341,0.339078948417275,0.388415580361896,0.737123033361405,1
2,minRepWord,t_p_fpr,3-1,348.5,0.388415580361896,0.388415580361896,0.737123033361405,1
3,minRepWord,t_p_fpr,2-4,273,0.0512530199037727,0.307518119422636,0.307518119422636,0.307518119422636
